token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
भओक,6,6,6,0,,भओक
पिलिया,6,6,6,0,,पिलिया
उसलाइ,6,6,99,0,लाइ,उस
भएर,6,6,6,0,,भएर
नबजात,6,6,7,0,,नबजात
रओएपछि,6,6,6,0,,रओएपछि
ब्यबहार,6,6,6,0,,ब्यबहार
राम्रओसग,6,6,32,0,सग,राम्रओ
२८,6,6,6,0,,२८
रातओ,6,6,6,0,,रातओ
हात,6,6,8,0,,हात
मुटुकओ,6,6,11,0,कओ,मुटु
गहिरओ,6,6,6,0,,गहिरओ
नरम,6,6,6,0,,नरम
सासमा,6,6,78,0,मा,सास
२०,6,6,6,0,,२०
अनियमित,6,6,6,0,,अनियमित
औसधिलए,6,6,10,0,लए,औसधि
आमालाइ,6,6,14,0,लाइ,आमा
दऐनिक,6,6,6,0,,दऐनिक
कडा,6,6,6,0,,कडा
दुखिरहएकओ,6,6,6,0,कओ,दुखिरहए
फुटएकओ,6,6,6,0,कओ,फुटए
स्बस्थ,6,6,6,0,,स्बस्थ
गर्भाबस्थामा,6,6,67,0,मा,गर्भाबस्था
२७,6,6,6,0,,२७
बिहान,6,6,13,0,,बिहान
२५,6,6,6,0,,२५
रओए,6,6,7,0,,रओए
साझमा,6,6,7,0,मा,साझ
बगएकओ,5,5,5,0,कओ,बगए
रिपओर्ट,5,5,5,0,,रिपओर्ट
तुरुन्त,5,5,5,0,,तुरुन्त
२३,5,5,5,0,,२३
पिउदा,5,5,5,0,,पिउदा
समय,5,5,15,0,,समय
सग,5,0,0,1,,सग
बानि,5,5,6,0,,बानि
नाक,5,5,5,0,,नाक
स्बासप्रस्बास,5,5,5,0,,स्बासप्रस्बास
सङ्कएत,5,5,5,0,,सङ्कएत
२२,5,5,5,0,,२२
खान्छिन्,5,5,5,0,,खान्छिन्
मुख,5,5,6,0,,मुख
खाएपछि,5,5,5,0,,खाएपछि
खुट्टामा,5,5,22,0,मा,खुट्टा
मुटु,5,5,11,0,,मुटु
पिउनए,5,5,5,0,,पिउनए
दिनदएखिकओ,5,5,77,0,दएखिकओ,दिन
गर्भ,5,5,6,0,,गर्भ
चाडओ,5,5,5,0,,चाडओ
