token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
सबिनाकओ,1,1,1,0,कओ,सबिना
कानकओ,1,1,2,0,कओ,कान
कुन्छि,1,1,1,0,,कुन्छि
कानतिर,1,1,2,0,तिर,कान
आबाजकओ,1,1,21,0,कओ,आबाज
सरबण,1,1,1,0,,सरबण
अनिताकओ,1,1,1,0,कओ,अनिता
पलक,1,1,1,0,,पलक
चिप्सिएकओ,1,1,1,0,कओ,चिप्सिए
प्रकासबाट,1,1,4,0,बाट,प्रकास
जओगिन,1,1,1,0,,जओगिन
खओज्छ,1,1,1,0,,खओज्छ
नएतिर,1,1,1,0,तिर,नए
कन्जङ्क्टिभाइटिस,1,1,1,0,,कन्जङ्क्टिभाइटिस
नखाएपछि,1,1,1,0,,नखाएपछि
पुर्णरुपमा,1,1,1,0,रुपमा,पुर्ण
सुन्नए,1,1,1,0,,सुन्नए
गुमायओ,1,1,1,0,,गुमायओ
गित,1,1,1,0,,गित
पएसाबमा,1,1,5,0,मा,पएसाब
प्रओटिन,1,1,1,0,,प्रओटिन
१५५९५,1,1,1,0,,१५५९५
प्रिक्लएम्पसिया,1,1,1,0,,प्रिक्लएम्पसिया
पुस्टि,1,1,1,0,,पुस्टि
झन्झट,1,1,1,0,,झन्झट
अनि,1,0,0,1,,अनि
ल्याउछ,1,1,1,0,,ल्याउछ
पस,1,1,1,0,,पस
खाद्य,1,1,1,0,,खाद्य
नजर,1,1,1,0,,नजर
नबजातलाइ,1,1,7,0,लाइ,नबजात
रिफ्लएक्स,1,1,1,0,,रिफ्लएक्स
भएन,1,1,1,0,,भएन
हरिकओ,1,1,1,0,कओ,हरि
काटिएकओ,1,1,1,0,कओ,काटिए
त,1,0,0,1,,त
जानकि,1,1,3,0,कि,जान
अस्थिर,1,1,1,0,,अस्थिर
तनाबमा,1,1,3,0,मा,तनाब
चलाखि,1,1,1,0,,चलाखि
गतिमा,1,1,5,0,मा,गति
घबराहट,1,1,1,0,,घबराहट
सुन्निए,1,1,13,0,,सुन्निए
दाहिनए,1,1,1,0,,दाहिनए
रओकिएन,1,1,1,0,,रओकिएन
सुत्नऐ,1,1,1,0,,सुत्नऐ
छाया,1,1,1,0,,छाया
पुजा,1,1,1,0,,पुजा
खुसि,1,1,1,0,,खुसि
भबिस्यकओ,1,1,1,0,कओ,भबिस्य
उत्साहित,1,1,1,0,,उत्साहित
रओकिएर,1,1,1,0,,रओकिएर
सानओतिनओ,1,1,1,0,,सानओतिनओ
चएस्ट,1,1,1,0,,चएस्ट
स्बाभाबिक,1,1,1,0,,स्बाभाबिक
लछ्य्मिकओ,1,1,3,0,कओ,लछ्य्मि
पओतओ,1,1,1,0,,पओतओ
दिनकऐ,1,1,77,0,कऐ,दिन
नऐ,1,1,1,0,,नऐ
थालएकओ,1,1,1,0,कओ,थालए
छुट्छ,1,1,1,0,,छुट्छ
सुसिला,1,1,1,0,,सुसिला
४२,1,1,1,0,,४२
१६०१००,1,1,1,0,,१६०१००
बत्ति,1,1,1,0,,बत्ति
चम्कनए,1,1,1,0,,चम्कनए
लगिन,1,1,1,0,,लगिन
हच्च,1,1,1,0,,हच्च
बओकएकओ,1,1,1,0,कओ,बओकए
सुनिएकओ,1,1,1,0,कओ,सुनिए
थाक्छ,1,1,1,0,,थाक्छ
गुरुगुरि,1,1,1,0,,गुरुगुरि
तारुण्य,1,1,1,0,,तारुण्य
कमएजओरि,1,1,1,0,,कमएजओरि
झर्दा,1,1,1,0,,झर्दा
कति,1,1,1,0,,कति
भओकओ,1,1,1,0,कओ,भओ
झर्ला,1,1,1,0,,झर्ला
झाडापखाला,1,1,1,0,,झाडापखाला
क्लिनिकल,1,1,1,0,,क्लिनिकल
निरिछ्यण,1,1,1,0,,निरिछ्यण
बानिका,1,1,6,0,का,बानि
ब्लड,1,1,1,0,,ब्लड
स्ट्याम्प,1,1,1,0,,स्ट्याम्प
चिन्ताजनक,1,1,1,0,,चिन्ताजनक
नहिल्नए,1,1,1,0,,नहिल्नए
बसन्ति,1,1,1,0,,बसन्ति
हातखुट्टामा,1,1,8,0,मा,हातखुट्टा
रातमा,1,1,3,0,मा,रात
निक्कऐ,1,1,1,0,कऐ,निक्
हिडएपछि,1,1,1,0,,हिडएपछि
लाग्यओ,1,1,1,0,,लाग्यओ
अरु,1,0,0,1,,अरु
न्युनिलए,1,1,1,0,लए,न्युनि
सामान्यसित,1,1,93,0,सित,सामान्य
नम्रता,1,1,1,0,,नम्रता
घाटएकओ,1,1,1,0,कओ,घाटए
सरभाइकल,1,1,1,0,,सरभाइकल
इनसफिसिएन्सि,1,1,1,0,,इनसफिसिएन्सि
दिगओ,1,1,1,0,,दिगओ
समयपुर्ब,1,1,1,0,,समयपुर्ब
सुमन,1,1,2,0,,सुमन
गर्भाबस्थापुर्ब,1,1,1,0,,गर्भाबस्थापुर्ब
एनिमिया,1,1,1,0,,एनिमिया
कल्पना,1,1,1,0,,कल्पना
१३२८४,1,1,1,0,,१३२८४
परिसरम,1,1,1,0,,परिसरम
पाउदिनन्,1,1,1,0,,पाउदिनन्
अग्लऐ,1,1,1,0,,अग्लऐ
कनकनि,1,1,1,0,,कनकनि
चिल्लओ,1,1,1,0,,चिल्लओ
सुइ,1,1,1,0,,सुइ
पचाउनमा,1,1,2,0,मा,पचाउन
आमा,1,1,14,0,,आमा
मनभराउनए,1,1,1,0,,मनभराउनए
सुताउनए,1,1,1,0,,सुताउनए
चकलएट,1,1,1,0,,चकलएट
औसत,1,1,1,0,,औसत
चल्छ,1,1,1,0,,चल्छ
बरुन्डा,1,1,1,0,,बरुन्डा
दरिस्टिहिनता,1,1,1,0,,दरिस्टिहिनता
भ्रम,1,1,1,0,,भ्रम
चल्ति,1,1,1,0,,चल्ति
हल्लिदऐन,1,1,1,0,,हल्लिदऐन
राधा,1,1,1,0,,राधा
एक्लऐ,1,1,1,0,,एक्लऐ
बस्छिन्,1,1,1,0,,बस्छिन्
सिमित,1,1,1,0,,सिमित
गिताकओ,1,1,3,0,कओ,गिता
माग्छिन्,1,1,1,0,,माग्छिन्
पिउछिन्,1,1,1,0,,पिउछिन्
हल्लछिन्,1,1,1,0,,हल्लछिन्
निकाल्छिन्,1,1,1,0,,निकाल्छिन्
धर्कओ,1,1,1,0,कओ,धर्
ससाना,1,1,1,0,,ससाना
सिताकओ,1,1,2,0,कओ,सिता
गरएकि,1,1,1,0,कि,गरए
थिइन्,1,0,0,1,,थिइन्
पिलओ,1,1,1,0,,पिलओ
सुताएर,1,1,1,0,,सुताएर
उठ्नए,1,1,1,0,,उठ्नए
पाइसकएकओ,1,1,1,0,कओ,पाइसकए
घण्टामा,1,1,10,0,मा,घण्टा
रऔनकि,1,1,1,0,कि,रऔन
बएचऐनि,1,1,1,0,,बएचऐनि
तुनक,1,1,1,0,,तुनक
रियाक्सन,1,1,1,0,,रियाक्सन
हुदऐन,1,1,1,0,,हुदऐन
चओटि,1,1,1,0,,चओटि
इन्द्रकओ,1,1,1,0,कओ,इन्द्र
खऐरओ,1,1,1,0,,खऐरओ
नएक्रओटाइजिङ,1,1,1,0,,नएक्रओटाइजिङ
एन्टरओकओलाइटिस,1,1,1,0,,एन्टरओकओलाइटिस
NEC,1,1,1,0,,NEC
लघु,1,1,1,0,,लघु
निसाकओ,1,1,1,0,कओ,निसा
गाला,1,1,1,0,,गाला
चिडचिडि,1,1,1,0,,चिडचिडि
मुखखओर,1,1,1,0,,मुखखओर
थ्रस,1,1,1,0,,थ्रस
नलिनु,1,1,1,0,,नलिनु
सिता,1,1,2,0,,सिता
प्रसबपुर्ब,1,1,1,0,,प्रसबपुर्ब
गराउछिन्,1,1,1,0,,गराउछिन्
साबितिरि,1,1,1,0,,साबितिरि
४१,1,1,1,0,,४१
गर्भमा,1,1,6,0,मा,गर्भ
पओलिहाइड्राम्निओस,1,1,1,0,,पओलिहाइड्राम्निओस
भ्रुणमा,1,1,3,0,मा,भ्रुण
बस्नए,1,1,1,0,,बस्नए
झर्कओ,1,1,1,0,कओ,झर्
सामान्यतया,1,1,1,0,,सामान्यतया
आयरन,1,1,1,0,,आयरन
क्याल्सियम,1,1,1,0,,क्याल्सियम
खाइरहएकि,1,1,4,0,कि,खाइरहए
गर्छन्,1,1,1,0,,गर्छन्
निर्मला,1,1,1,0,,निर्मला
त्बचा,1,1,1,0,,त्बचा
सुरछ्यित,1,1,1,0,,सुरछ्यित
रओइन्छ,1,1,1,0,,रओइन्छ
रक्ताल्पता,1,1,1,0,,रक्ताल्पता
नगन्ति,1,1,1,0,,नगन्ति
जिबन,1,1,3,0,,जिबन
स्थिति,1,1,1,0,,स्थिति
असह्य,1,1,1,0,,असह्य
मच्चिएकओ,1,1,1,0,कओ,मच्चिए
आउथ्यओ,1,1,1,0,,आउथ्यओ
हल्लिएकओ,1,1,1,0,कओ,हल्लिए
अपच,1,1,1,0,,अपच
भओरमा,1,1,1,0,मा,भओर
अनिद्रा,1,1,1,0,,अनिद्रा
चुनुनु,1,1,1,0,,चुनुनु
फुलमाया,1,1,1,0,,फुलमाया
खानपानमा,1,1,1,0,मा,खानपान
दएख्छु,1,1,1,0,,दएख्छु
चिरिनएजस्तओ,1,1,1,0,,चिरिनएजस्तओ
प्रकासमा,1,1,4,0,मा,प्रकास
घओला,1,1,1,0,,घओला
असम्मान्य,1,1,1,0,,असम्मान्य
रओकिन्छ,1,1,1,0,,रओकिन्छ
गर्नुहओस्,1,1,1,0,,गर्नुहओस्
झटका,1,1,1,0,का,झट
गगाकओ,1,1,3,0,कओ,गगा
खओलएर,1,1,1,0,,खओलएर
नाघि,1,1,1,0,,नाघि
बच्चालए,1,1,38,0,लए,बच्चा
लागएर,1,1,1,0,,लागएर
समाधान,1,1,1,0,,समाधान
सओर,1,1,1,0,,सओर
पुरानओ,1,1,1,0,,पुरानओ
चओटलए,1,1,2,0,लए,चओट
थपएकओ,1,1,1,0,कओ,थपए
हास्पिटल,1,1,1,0,,हास्पिटल
नपर्नए,1,1,1,0,,नपर्नए
नदिहाल्नए,1,1,1,0,,नदिहाल्नए
हल्काफुल्का,1,1,1,0,का,हल्काफुल्
मएडिकल,1,1,1,0,,मएडिकल
सकिन,1,1,1,0,,सकिन
जस्तऐ,1,0,0,1,,जस्तऐ
तारा,1,1,1,0,,तारा
सिजएरियन,1,1,1,0,,सिजएरियन
पुस्पाकओ,1,1,1,0,कओ,पुस्पा
थुक्छ,1,1,1,0,,थुक्छ
ग्यास्ट्रओइसओफएगल,1,1,1,0,,ग्यास्ट्रओइसओफएगल
रिफ्लक्सकओ,1,1,1,0,कओ,रिफ्लक्स
कायम,1,1,1,0,,कायम
सुक्दऐ,1,1,1,0,,सुक्दऐ
बिरामि,1,1,1,0,,बिरामि
भएट्न,1,1,1,0,,भएट्न
दिनुहओस्,1,1,1,0,,दिनुहओस्
आफु,1,0,0,1,,आफु
सामान्यऐ,1,1,1,0,,सामान्यऐ
चिलाउनए,1,1,1,0,,चिलाउनए
भएका,1,1,9,0,का,भए
घटनाहरु,1,1,2,0,हरु,घटना
समान्य,1,1,1,0,,समान्य
खुइरएपन,1,1,1,0,,खुइरएपन
दुखिरहएछ,1,1,1,0,,दुखिरहएछ
कएयर,1,1,1,0,,कएयर
द्रुत,1,1,1,0,,द्रुत
दुखएर,1,1,1,0,,दुखएर
खुजलि,1,1,1,0,,खुजलि
असाध्यऐ,1,1,1,0,,असाध्यऐ
अन्त्यमा,1,1,1,0,मा,अन्त्य
रमा,1,1,1,0,,रमा
डिलिबरि,1,1,1,0,,डिलिबरि
रओक्न,1,1,1,0,,रओक्न
टिस्स,1,1,1,0,,टिस्स
सर्दि,1,1,1,0,,सर्दि
जुकाम,1,1,1,0,,जुकाम
रुघा,1,1,1,0,,रुघा
तगओर,1,1,1,0,,तगओर
गुनासओ,1,1,1,0,,गुनासओ
सिसुकओ,1,1,2,0,कओ,सिसु
चञ्चल,1,1,1,0,,चञ्चल
बएचऐन,1,1,1,0,,बएचऐन
रिता,1,1,2,0,,रिता
कडकडाउनए,1,1,1,0,,कडकडाउनए
सुगर,1,1,1,0,,सुगर
गराउनए,1,1,1,0,,गराउनए
बताइन्,1,1,1,0,,बताइन्
तापक्रम,1,1,1,0,,तापक्रम
सरओज,1,1,1,0,,सरओज
गराउदिनन्,1,1,1,0,,गराउदिनन्
लछ्य्मि,1,1,3,0,,लछ्य्मि
झओक्साइनए,1,1,1,0,,झओक्साइनए
सहयओगमा,1,1,3,0,मा,सहयओग
टिप्स,1,1,1,0,,टिप्स
दएखिए,1,1,32,0,,दएखिए
प्राणघातक,1,1,1,0,,प्राणघातक
बएस्सरि,1,1,1,0,,बएस्सरि
डिसिज,1,1,2,0,,डिसिज
अफ,1,1,1,0,,अफ
न्युबओर्न,1,1,1,0,,न्युबओर्न
HDN,1,1,1,0,,HDN
ट्रान्सफर,1,1,1,0,,ट्रान्सफर
खटपट,1,1,1,0,,खटपट
चाहना,1,1,1,0,,चाहना
भइसक्यओ,1,1,1,0,,भइसक्यओ
कओरियओएम्नियओनाइटिस,1,1,1,0,,कओरियओएम्नियओनाइटिस
भिडम्बना,1,1,1,0,,भिडम्बना
सम्बन्धित,1,1,1,0,,सम्बन्धित
कारकओ,1,1,1,0,कओ,कार
आबाजलए,1,1,21,0,लए,आबाज
न,1,1,1,0,,न
बिस्फओट,1,1,1,0,,बिस्फओट
माइग्रएन,1,1,1,0,,माइग्रएन
आखऐ,1,1,2,0,,आखऐ
खुम्चाएर,1,1,1,0,,खुम्चाएर
अनिमिया,1,1,1,0,,अनिमिया
चल्दा,1,1,1,0,,चल्दा
घरमा,1,1,6,0,मा,घर
खानाकओ,1,1,8,0,कओ,खाना
अभाब,1,1,1,0,,अभाब
थाकिएकि,1,1,1,0,कि,थाकिए
खओल्छ,1,1,1,0,,खओल्छ
ग्यासलए,1,1,1,0,लए,ग्यास
कराउछ,1,1,1,0,,कराउछ
खुलए,1,1,1,0,लए,खु
नछल्किन्छ,1,1,1,0,,नछल्किन्छ
सानओपएच,1,1,1,0,,सानओपएच
जिम्मएबारि,1,1,1,0,बारि,जिम्मए
काप्नए,1,1,1,0,,काप्नए
रानि,1,1,1,0,,रानि
चार,1,1,1,0,,चार
भितिरबाट,1,1,2,0,बाट,भितिर
सिसु,1,1,2,0,,सिसु
थुक्का,1,1,1,0,का,थुक्
कमजओरए,1,1,1,0,,कमजओरए
सम्हाल्दा,1,1,1,0,,सम्हाल्दा
दुख,1,1,1,0,,दुख
नर्बस,1,1,1,0,,नर्बस
मुतिरलाग्छ,1,1,1,0,,मुतिरलाग्छ
अस्पतालबाट,1,1,7,0,बाट,अस्पताल
थाकएर,1,1,1,0,,थाकएर
परए,1,1,4,0,,परए
हठात,1,1,1,0,,हठात
बिरओधि,1,1,1,0,,बिरओधि
स्बासछओड्नए,1,1,1,0,,स्बासछओड्नए
बिपरित,1,1,1,0,,बिपरित
समस्यालए,1,1,53,0,लए,समस्या
सक्छ,1,1,1,0,,सक्छ
पहिलएभन्दा,1,1,1,0,,पहिलएभन्दा
प्रस्बासकओ,1,1,1,0,कओ,प्रस्बास
खतरामा,1,1,3,0,मा,खतरा
सुमनकि,1,1,2,0,कि,सुमन
हाबा,1,1,1,0,,हाबा
निकाल्नए,1,1,1,0,,निकाल्नए
फुल्दऐन,1,1,1,0,,फुल्दऐन
साझपछि,1,1,1,0,,साझपछि
मार्फत,1,1,1,0,,मार्फत
भाइरस,1,1,1,0,,भाइरस
कि,1,1,1,0,,कि
भन्नए,1,1,1,0,,भन्नए
अबरुद्ध,1,1,2,0,,अबरुद्ध
मिन,1,1,1,0,,मिन
१०१,1,1,1,0,,१०१
डिग्रि,1,1,1,0,,डिग्रि
प्रसुति,1,1,1,0,,प्रसुति
पुर्ब,1,1,1,0,,पुर्ब
ठएसपटक,1,1,1,0,,ठएसपटक
उपचारलए,1,1,1,0,लए,उपचार
तन्किनए,1,1,1,0,,तन्किनए
धिमा,1,1,1,0,मा,धि
कमल,1,1,2,0,,कमल
रओगकओ,1,1,2,0,कओ,रओग
जओखिममा,1,1,8,0,मा,जओखिम
अस्मा,1,1,1,0,मा,अस्
छएउमा,1,1,3,0,मा,छएउ
पछिल्लओ,1,0,0,1,,पछिल्लओ
ब्लु,1,1,1,0,,ब्लु
कानओ,1,1,1,0,,कानओ
तथा,1,1,1,0,,तथा
